provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
RIAU,MAKANAN,PERKOTAAN,2019,SEPTEMBER,383444,2662026,680685,16270
RIAU,MAKANAN,PERKOTAAN,2020,MARET,400297,2888564,744846,18411
RIAU,MAKANAN,PERKOTAAN,2020,SEPTEMBER,401965,2888564,744846,18411
RIAU,MAKANAN,PERDESAAN,2019,MARET,368149,2662026,581820,16270
RIAU,MAKANAN,PERDESAAN,2019,SEPTEMBER,381046,2662026,581820,16270
RIAU,MAKANAN,PERDESAAN,2020,MARET,394776,2888564,616148,18411
RIAU,MAKANAN,PERDESAAN,2020,SEPTEMBER,396647,2888564,616148,18411
RIAU,MAKANAN,PERKOTAAN,2021,MARET,419858,2888564,714406,19144
RIAU,MAKANAN,PERKOTAAN,2021,SEPTEMBER,432554,2888564,714406,19144
RIAU,MAKANAN,PERKOTAAN,2022,MARET,450681,2938564,794813,18626
RIAU,MAKANAN,PERKOTAAN,2022,SEPTEMBER,486130,2938564,794813,18626
RIAU,MAKANAN,PERDESAAN,2021,MARET,409818,2888564,643925,19144
RIAU,MAKANAN,PERDESAAN,2021,SEPTEMBER,423953,2888564,643925,19144
RIAU,MAKANAN,PERDESAAN,2022,MARET,435905,2938564,687965,18626
RIAU,MAKANAN,PERDESAAN,2022,SEPTEMBER,468911,2938564,687965,18626
RIAU,NONMAKANAN,PERKOTAAN,2015,MARET,124441,1878000,661673,13303
RIAU,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,128812,1878000,661673,13303
RIAU,NONMAKANAN,PERKOTAAN,2016,MARET,134320,2095000,701840,15506
RIAU,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,137972,2095000,701840,15506
RIAU,NONMAKANAN,PERDESAAN,2015,MARET,93237,1878000,413929,13303
RIAU,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,98585,1878000,413929,13303
RIAU,NONMAKANAN,PERDESAAN,2016,MARET,99515,2095000,415428,15506
RIAU,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,100785,2095000,415428,15506
RIAU,NONMAKANAN,PERKOTAAN,2017,MARET,145074,2266722,661941,15182
RIAU,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,147147,2266722,661941,15182
RIAU,NONMAKANAN,PERKOTAAN,2018,MARET,148954,2464154,744298,15613
RIAU,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,149398,2464154,744298,15613
RIAU,NONMAKANAN,PERDESAAN,2017,MARET,104373,2266722,422216,15182
RIAU,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,106403,2266722,422216,15182
RIAU,NONMAKANAN,PERDESAAN,2018,MARET,114001,2464154,482077,15613
RIAU,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,119824,2464154,482077,15613
RIAU,NONMAKANAN,PERKOTAAN,2019,MARET,152604,2662026,800946,16270
RIAU,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,163071,2662026,800946,16270
RIAU,NONMAKANAN,PERKOTAAN,2020,MARET,170165,2888564,909577,18411
RIAU,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,170891,2888564,909577,18411
RIAU,NONMAKANAN,PERDESAAN,2019,MARET,123242,2662026,483155,16270
RIAU,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,129376,2662026,483155,16270
RIAU,NONMAKANAN,PERDESAAN,2020,MARET,131654,2888564,511937,18411
RIAU,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,132088,2888564,511937,18411
RIAU,NONMAKANAN,PERKOTAAN,2021,MARET,175412,2888564,868308,19144
