provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,Cluster
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019.0,MARET,143519.0,2289220.0,709405.0,15210.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019.0,SEPTEMBER,149242.0,2289220.0,709405.0,15210.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020.0,MARET,151198.0,2484041.0,753188.0,17571.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020.0,SEPTEMBER,152458.0,2484041.0,753188.0,17571.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019.0,MARET,101722.0,2289220.0,419508.0,15210.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019.0,SEPTEMBER,108552.99999999999,2289220.0,419508.0,15210.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020.0,MARET,112136.0,2484041.0,445718.0,17571.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020.0,SEPTEMBER,113254.0,2484041.0,445718.0,17571.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021.0,MARET,156831.0,2484041.0,764266.0,16630.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021.0,SEPTEMBER,161294.0,2484041.0,764266.0,16630.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022.0,MARET,169253.0,2512539.0,781204.0,15887.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022.0,SEPTEMBER,178321.0,2512539.0,781204.0,15887.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021.0,MARET,117976.0,2484041.0,468281.0,16630.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021.0,SEPTEMBER,121531.0,2484041.0,468281.0,16630.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022.0,MARET,127489.0,2512539.0,477638.0,15887.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022.0,SEPTEMBER,138150.0,2512539.0,477638.0,15887.0,1
RIAU,MAKANAN,PERKOTAAN,2015.0,MARET,280361.0,1878000.0,530836.0,13303.0,1
RIAU,MAKANAN,PERKOTAAN,2015.0,SEPTEMBER,288956.0,1878000.0,530836.0,13303.0,1
RIAU,MAKANAN,PERKOTAAN,2016.0,MARET,292026.0,2095000.0,599303.0,15506.0,1
RIAU,MAKANAN,PERKOTAAN,2016.0,SEPTEMBER,301570.0,2095000.0,599303.0,15506.0,1
RIAU,MAKANAN,PERDESAAN,2015.0,MARET,302422.0,1878000.0,472756.0,13303.0,1
RIAU,MAKANAN,PERDESAAN,2015.0,SEPTEMBER,318195.0,1878000.0,472756.0,13303.0,1
RIAU,MAKANAN,PERDESAAN,2016.0,MARET,326262.0,2095000.0,529182.0,15506.0,1
RIAU,MAKANAN,PERDESAAN,2016.0,SEPTEMBER,333174.0,2095000.0,529182.0,15506.0,1
RIAU,MAKANAN,PERKOTAAN,2017.0,MARET,318174.0,2266722.0,643136.0,15182.0,1
RIAU,MAKANAN,PERKOTAAN,2017.0,SEPTEMBER,327480.0,2266722.0,643136.0,15182.0,1
RIAU,MAKANAN,PERKOTAAN,2018.0,MARET,342425.0,2464154.0,644937.0,15613.0,1
RIAU,MAKANAN,PERKOTAAN,2018.0,SEPTEMBER,350004.0,2464154.0,644937.0,15613.0,1
RIAU,MAKANAN,PERDESAAN,2017.0,MARET,346208.0,2266722.0,577172.0,15182.0,1
RIAU,MAKANAN,PERDESAAN,2017.0,SEPTEMBER,350964.99999999994,2266722.0,577172.0,15182.0,1
RIAU,MAKANAN,PERDESAAN,2018.0,MARET,357685.0,2464154.0,569382.0,15613.0,1
RIAU,MAKANAN,PERDESAAN,2018.0,SEPTEMBER,358620.0,2464154.0,569382.0,15613.0,1
RIAU,MAKANAN,PERKOTAAN,2019.0,MARET,361135.0,2662026.0,680685.0,16270.0,1
RIAU,MAKANAN,PERKOTAAN,2019.0,SEPTEMBER,383444.0,2662026.0,680685.0,16270.0,1
RIAU,MAKANAN,PERKOTAAN,2020.0,MARET,400297.0,2888564.0,744845.9999999999,18411.0,1
RIAU,MAKANAN,PERKOTAAN,2020.0,SEPTEMBER,401965.0,2888564.0,744845.9999999999,18411.0,1
RIAU,MAKANAN,PERDESAAN,2019.0,MARET,368149.0,2662026.0,581820.0,16270.0,1
RIAU,MAKANAN,PERDESAAN,2019.0,SEPTEMBER,381046.0,2662026.0,581820.0,16270.0,1
RIAU,MAKANAN,PERDESAAN,2020.0,MARET,394776.0,2888564.0,616148.0,18411.0,1
RIAU,MAKANAN,PERDESAAN,2020.0,SEPTEMBER,396647.0,2888564.0,616148.0,18411.0,1
RIAU,MAKANAN,PERKOTAAN,2021.0,MARET,419858.0,2888564.0,714406.0,19144.0,1
RIAU,MAKANAN,PERKOTAAN,2021.0,SEPTEMBER,432554.0,2888564.0,714406.0,19144.0,1
RIAU,MAKANAN,PERKOTAAN,2022.0,MARET,450681.0,2938564.0,794813.0,18626.0,1
RIAU,MAKANAN,PERKOTAAN,2022.0,SEPTEMBER,486130.0,2938564.0,794813.0,18626.0,1
RIAU,MAKANAN,PERDESAAN,2021.0,MARET,409818.0,2888564.0,643925.0,19144.0,1
RIAU,MAKANAN,PERDESAAN,2021.0,SEPTEMBER,423953.0,2888564.0,643925.0,19144.0,1
RIAU,MAKANAN,PERDESAAN,2022.0,MARET,435905.0,2938564.0,687965.0,18626.0,1
RIAU,MAKANAN,PERDESAAN,2022.0,SEPTEMBER,468911.0,2938564.0,687965.0,18626.0,1
RIAU,NONMAKANAN,PERKOTAAN,2015.0,MARET,124441.0,1878000.0,661673.0,13303.0,1
RIAU,NONMAKANAN,PERKOTAAN,2015.0,SEPTEMBER,128812.0,1878000.0,661673.0,13303.0,1
RIAU,NONMAKANAN,PERKOTAAN,2016.0,MARET,134320.0,2095000.0,701840.0,15506.0,1
RIAU,NONMAKANAN,PERKOTAAN,2016.0,SEPTEMBER,137972.0,2095000.0,701840.0,15506.0,1
RIAU,NONMAKANAN,PERDESAAN,2015.0,MARET,93237.0,1878000.0,413929.0,13303.0,1
RIAU,NONMAKANAN,PERDESAAN,2015.0,SEPTEMBER,98585.0,1878000.0,413929.0,13303.0,1
RIAU,NONMAKANAN,PERDESAAN,2016.0,MARET,99515.0,2095000.0,415428.0,15506.0,1
RIAU,NONMAKANAN,PERDESAAN,2016.0,SEPTEMBER,100785.0,2095000.0,415428.0,15506.0,1
